Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Age missing
EMP1075,Heidi,Johnson,25.0,HR-California,Inactive,10/13/2024,112414,heidi.johnson@example.com,-9354492682,Good,False,0
EMP1076,David,Brown,40.0,Admin-California,Inactive,9/21/2022,52031,david.brown@example.com,-1589357125,Good,True,0
EMP1077,Grace,Brown,30.0,Finance-New York,Pending,12/29/2022,51887,grace.brown@example.com,-6110627370,Good,False,0
EMP1078,Alice,Davis,25.0,DevOps-Florida,Active,11/10/2024,82318,alice.davis@example.com,-5869886496,Good,True,0
EMP1079,Grace,Brown,35.0,Admin-Florida,Inactive,11/22/2021,103286,grace.brown@example.com,-6776228276,Average,False,0
EMP1080,Grace,Davis,35.0,Cloud Tech-Florida,Active,3/14/2024,87759,grace.davis@example.com,-2881377027,Average,False,0
EMP1081,Frank,Brown,30.0,DevOps-Texas,Pending,3/23/2020,102796,frank.brown@example.com,-5196115939,Good,False,0
EMP1082,David,Jones,25.0,Sales-New York,Active,9/15/2020,83149,david.jones@example.com,-8215454469,Poor,True,0
EMP1083,David,Garcia,40.0,DevOps-California,Inactive,12/9/2020,92412,david.garcia@example.com,-2296044326,Excellent,True,0
EMP1084,Bob,Davis,30.0,HR-Texas,Pending,2/22/2020,115022,bob.davis@example.com,-185106793,Good,False,0
EMP1085,Grace,Williams,40.0,DevOps-New York,Active,4/27/2023,98343,grace.williams@example.com,-9756792286,Poor,False,0
EMP1086,Bob,Miller,35.0,DevOps-Illinois,Active,6/18/2024,118869,bob.miller@example.com,-7725199662,Excellent,True,0
EMP1087,Frank,Smith,32.48454882571075,Finance-Nevada,Inactive,5/21/2020,85417,frank.smith@example.com,-6580741208,Good,True,1
EMP1088,Grace,Brown,40.0,Cloud Tech-Florida,Inactive,7/25/2023,112410,grace.brown@example.com,-4818139889,Good,True,0
EMP1089,Charlie,Johnson,40.0,Admin-Nevada,Pending,8/25/2023,68905,charlie.johnson@example.com,-9837801819,Average,False,0
EMP1090,Heidi,Garcia,40.0,Finance-Nevada,Pending,7/3/2021,72561,heidi.garcia@example.com,-4339718955,Excellent,True,0
EMP1091,Bob,Brown,35.0,Finance-New York,Inactive,3/13/2023,92723,bob.brown@example.com,-9070562607,Excellent,True,0
EMP1092,Alice,Johnson,40.0,HR-New York,Inactive,3/10/2021,74837,alice.johnson@example.com,-5641118241,Poor,False,0
EMP1093,Eva,Miller,32.48454882571075,DevOps-California,Pending,1/21/2020,86163,eva.miller@example.com,-2412462094,Average,True,1
EMP1094,David,Miller,40.0,Finance-Illinois,Active,11/15/2023,83326,david.miller@example.com,-2004615264,Average,True,0
EMP1095,Heidi,Miller,25.0,Cloud Tech-California,Active,4/8/2022,98425,heidi.miller@example.com,-4610339936,Average,True,0
EMP1096,Frank,Johnson,40.0,Sales-Illinois,Inactive,5/21/2022,119764,frank.johnson@example.com,-8861405785,Average,False,0
EMP1097,Frank,Brown,40.0,HR-California,Inactive,4/17/2021,58445,frank.brown@example.com,-1706304890,Excellent,False,0
EMP1098,Bob,Miller,32.48454882571075,DevOps-New York,Active,3/19/2021,101702,bob.miller@example.com,-3824967182,Excellent,False,1
EMP1099,Eva,Jones,25.0,Admin-California,Active,1/9/2022,85155,eva.jones@example.com,-2582386869,Good,False,0
EMP1100,Charlie,Davis,35.0,Cloud Tech-Texas,Pending,8/21/2021,98819,charlie.davis@example.com,-794200748,Good,False,0
EMP1101,Heidi,Johnson,25.0,Cloud Tech-Illinois,Inactive,8/19/2022,83509,heidi.johnson@example.com,-4653984027,Average,False,0
EMP1102,Alice,Johnson,35.0,Finance-Texas,Active,3/31/2022,84422,alice.johnson@example.com,-9141612845,Average,False,0
EMP1103,Alice,Brown,30.0,Admin-Illinois,Inactive,6/23/2020,119574,alice.brown@example.com,-3985547434,Average,True,0
EMP1104,Grace,Johnson,32.48454882571075,Sales-Illinois,Active,5/7/2024,86580,grace.johnson@example.com,-5379502096,Good,True,1
EMP1105,Heidi,Johnson,35.0,Sales-Florida,Inactive,3/10/2023,93471,heidi.johnson@example.com,-26876810,Poor,False,0
EMP1106,Bob,Miller,30.0,DevOps-New York,Inactive,9/14/2023,55683,bob.miller@example.com,-8071569561,Poor,True,0
EMP1107,Bob,Brown,30.0,Cloud Tech-Florida,Inactive,11/12/2023,91566,bob.brown@example.com,-175370303,Good,True,0
EMP1108,David,Miller,35.0,DevOps-California,Pending,10/26/2024,81782,david.miller@example.com,-5319433749,Good,False,0
EMP1109,Eva,Davis,32.48454882571075,DevOps-New York,Inactive,8/23/2020,88119,eva.davis@example.com,-4793036148,Good,True,1
EMP1110,Eva,Garcia,30.0,Cloud Tech-Texas,Active,6/11/2024,71532,eva.garcia@example.com,-8728399920,Good,True,0
EMP1111,Eva,Davis,40.0,Cloud Tech-Florida,Pending,9/14/2021,98981,eva.davis@example.com,-9212493842,Good,True,0
EMP1112,Heidi,Garcia,40.0,Cloud Tech-Illinois,Active,12/26/2024,80242,heidi.garcia@example.com,-894870604,Good,True,0
EMP1113,Eva,Miller,25.0,Cloud Tech-New York,Pending,9/8/2024,110236,eva.miller@example.com,-6641877579,Average,True,0
EMP1114,Alice,Davis,35.0,Sales-Texas,Active,8/21/2022,86327,alice.davis@example.com,-3046875062,Average,False,0
EMP1115,Eva,Brown,30.0,Sales-Florida,Pending,7/25/2024,84420,eva.brown@example.com,-5190361331,Average,False,0
EMP1116,Frank,Smith,40.0,HR-California,Pending,8/2/2020,110041,frank.smith@example.com,-5411076094,Average,False,0
EMP1117,Heidi,Miller,35.0,DevOps-Florida,Pending,3/16/2020,81837,heidi.miller@example.com,-4317350582,Good,True,0
EMP1118,Frank,Garcia,25.0,Finance-Illinois,Active,9/8/2023,110855,frank.garcia@example.com,-1997179109,Poor,False,0
EMP1119,Alice,Jones,30.0,Sales-California,Pending,3/29/2024,84894,alice.jones@example.com,-651207048,Excellent,True,0
EMP1120,Alice,Garcia,30.0,HR-Illinois,Active,8/12/2021,80668,alice.garcia@example.com,-6110804660,Good,True,0
EMP1121,Bob,Jones,25.0,DevOps-Illinois,Active,12/24/2023,61086,bob.jones@example.com,-9639907675,Excellent,True,0
EMP1122,Grace,Johnson,25.0,Admin-Texas,Inactive,8/28/2020,95339,grace.johnson@example.com,-9915078592,Poor,True,0
EMP1123,Eva,Davis,32.48454882571075,DevOps-California,Inactive,9/5/2024,83774,eva.davis@example.com,-1109193927,Average,False,1
EMP1124,Heidi,Jones,32.48454882571075,Admin-Florida,Active,5/12/2023,85576,heidi.jones@example.com,-4567972319,Poor,False,1
EMP1125,Bob,Garcia,35.0,Finance-California,Pending,7/1/2021,107438,bob.garcia@example.com,-249685497,Good,True,0
EMP1126,Eva,Johnson,32.48454882571075,Sales-Nevada,Inactive,11/7/2024,60401,eva.johnson@example.com,-2274954507,Average,False,1
EMP1127,Frank,Smith,35.0,Sales-Illinois,Inactive,7/21/2022,115299,frank.smith@example.com,-9203880652,Good,True,0
EMP1128,David,Brown,32.48454882571075,Finance-New York,Inactive,3/30/2020,72272,david.brown@example.com,-3315377958,Average,False,1
EMP1129,Grace,Brown,40.0,DevOps-Nevada,Active,10/11/2022,117537,grace.brown@example.com,-9594652169,Excellent,False,0
EMP1130,Frank,Brown,25.0,Finance-Texas,Pending,7/24/2022,51074,frank.brown@example.com,-7303379336,Excellent,True,0
EMP1131,Charlie,Jones,25.0,Finance-California,Inactive,6/30/2023,98489,charlie.jones@example.com,-5636205014,Excellent,False,0
EMP1132,Frank,Smith,32.48454882571075,Finance-California,Pending,1/11/2024,112120,frank.smith@example.com,-812473949,Poor,True,1
EMP1133,Alice,Jones,32.48454882571075,Cloud Tech-New York,Pending,11/2/2023,114465,alice.jones@example.com,-334234257,Good,False,1
EMP1134,Bob,Davis,40.0,Cloud Tech-Nevada,Pending,11/22/2024,57035,bob.davis@example.com,-3230241025,Poor,True,0
EMP1135,Eva,Jones,25.0,Cloud Tech-California,Active,8/23/2021,75092,eva.jones@example.com,-1534735527,Excellent,True,0
EMP1136,David,Smith,32.48454882571075,Finance-Illinois,Pending,6/11/2024,62603,david.smith@example.com,-9611223385,Good,False,1
EMP1137,Grace,Smith,32.48454882571075,DevOps-New York,Inactive,4/9/2023,60018,grace.smith@example.com,-5596309937,Excellent,False,1
EMP1138,Eva,Davis,40.0,HR-Nevada,Active,7/5/2024,82567,eva.davis@example.com,-4253042896,Poor,True,0
EMP1139,Charlie,Smith,25.0,Finance-California,Pending,9/4/2021,94725,charlie.smith@example.com,-3179128684,Poor,False,0
EMP1140,Eva,Garcia,40.0,HR-New York,Inactive,10/13/2024,83824,eva.garcia@example.com,-7872558776,Poor,False,0
EMP1141,Frank,Smith,32.48454882571075,HR-Nevada,Inactive,2/14/2020,118456,frank.smith@example.com,-4969033372,Excellent,True,1
EMP1142,Eva,Brown,25.0,Sales-Nevada,Pending,4/10/2020,113743,eva.brown@example.com,-6346692547,Good,True,0
EMP1143,Eva,Garcia,30.0,Sales-California,Active,7/27/2023,63309,eva.garcia@example.com,-1214785389,Good,False,0
EMP1144,Charlie,Garcia,25.0,DevOps-Nevada,Active,9/24/2021,105202,charlie.garcia@example.com,-7895677664,Excellent,True,0
EMP1145,Frank,Davis,30.0,Cloud Tech-California,Inactive,3/10/2024,79085,frank.davis@example.com,-7546027340,Good,True,0
EMP1146,Frank,Williams,32.48454882571075,Sales-California,Active,6/10/2021,113983,frank.williams@example.com,-5148881430,Excellent,True,1
EMP1147,Eva,Williams,35.0,Cloud Tech-Florida,Active,10/15/2020,102790,eva.williams@example.com,-1150835353,Good,False,0
EMP1148,Grace,Smith,32.48454882571075,HR-Texas,Inactive,1/29/2020,68512,grace.smith@example.com,-4439284043,Average,False,1
EMP1149,Frank,Garcia,35.0,Sales-Florida,Pending,1/30/2022,57584,frank.garcia@example.com,-5669078262,Average,True,0
EMP1150,Alice,Williams,32.48454882571075,Sales-California,Pending,3/29/2021,95335,alice.williams@example.com,-3373898774,Poor,False,1
EMP1151,Heidi,Williams,35.0,DevOps-Florida,Active,10/13/2020,53174,heidi.williams@example.com,-1536637779,Average,True,0
EMP1152,Heidi,Smith,25.0,Cloud Tech-New York,Pending,10/4/2020,77205,heidi.smith@example.com,-5292407552,Average,False,0
EMP1153,Grace,Williams,32.48454882571075,DevOps-Nevada,Active,12/18/2024,79041,grace.williams@example.com,-6668459089,Average,True,1
EMP1154,Heidi,Jones,32.48454882571075,Finance-California,Active,11/14/2023,75937,heidi.jones@example.com,-2259999662,Excellent,True,1
EMP1155,David,Johnson,35.0,Cloud Tech-Nevada,Inactive,1/20/2023,113118,david.johnson@example.com,-6186371596,Average,False,0
EMP1156,Alice,Davis,40.0,HR-New York,Active,10/2/2024,107693,alice.davis@example.com,-4121820969,Average,True,0
EMP1157,David,Johnson,32.48454882571075,Cloud Tech-Texas,Inactive,5/13/2021,119217,david.johnson@example.com,-2316433480,Poor,False,1
EMP1158,David,Smith,25.0,Sales-New York,Pending,3/18/2021,106913,david.smith@example.com,-7058025661,Average,False,0
EMP1159,Charlie,Brown,32.48454882571075,Cloud Tech-California,Active,9/23/2020,87815,charlie.brown@example.com,-1286716322,Average,True,1
EMP1160,Bob,Davis,25.0,Admin-Texas,Inactive,6/5/2024,105190,bob.davis@example.com,-4672994937,Good,True,0
EMP1161,Alice,Smith,30.0,HR-Texas,Active,2/28/2024,79467,alice.smith@example.com,-7430271692,Poor,False,0
EMP1162,Bob,Garcia,40.0,Finance-California,Pending,4/30/2023,57633,bob.garcia@example.com,-8597779013,Poor,True,0
EMP1163,Alice,Brown,32.48454882571075,HR-Florida,Pending,3/4/2020,54257,alice.brown@example.com,-7546926328,Poor,True,1
EMP1164,Grace,Johnson,40.0,DevOps-Texas,Inactive,12/29/2023,113679,grace.johnson@example.com,-6762916031,Poor,True,0
EMP1165,Bob,Smith,35.0,Sales-New York,Active,9/15/2020,69251,bob.smith@example.com,-4841376814,Poor,True,0
EMP1166,Frank,Garcia,40.0,Sales-Illinois,Inactive,7/18/2022,85388,frank.garcia@example.com,-1185672437,Poor,True,0
EMP1167,Bob,Davis,32.48454882571075,DevOps-New York,Inactive,7/13/2022,112166,bob.davis@example.com,-701765635,Excellent,False,1
EMP1168,Heidi,Davis,40.0,Finance-Nevada,Active,10/2/2021,79873,heidi.davis@example.com,-41257770,Average,False,0
EMP1169,Frank,Miller,30.0,DevOps-Florida,Active,7/5/2020,108224,frank.miller@example.com,-1837274219,Poor,True,0
EMP1170,Bob,Garcia,35.0,Admin-Illinois,Active,4/16/2023,116963,bob.garcia@example.com,-9124186209,Average,True,0
EMP1171,Bob,Jones,40.0,HR-Nevada,Inactive,11/12/2024,114109,bob.jones@example.com,-4275230836,Average,True,0
EMP1172,Eva,Williams,32.48454882571075,HR-California,Active,3/29/2023,85518,eva.williams@example.com,-816470899,Excellent,False,1
EMP1173,Heidi,Brown,30.0,Cloud Tech-California,Pending,1/22/2022,58041,heidi.brown@example.com,-6335331059,Poor,True,0
EMP1174,David,Garcia,40.0,Sales-Illinois,Pending,10/14/2023,94988,david.garcia@example.com,-531312205,Good,False,0
EMP1175,Eva,Miller,25.0,Admin-California,Pending,4/10/2024,71628,eva.miller@example.com,-8155839385,Excellent,False,0
EMP1176,Alice,Williams,30.0,Admin-Illinois,Pending,3/31/2022,54870,alice.williams@example.com,-6133155205,Good,False,0
EMP1177,Alice,Williams,25.0,DevOps-Illinois,Active,2/9/2022,79388,alice.williams@example.com,-5063731494,Average,True,0
EMP1178,Frank,Smith,35.0,DevOps-California,Pending,5/6/2023,55946,frank.smith@example.com,-136497188,Average,False,0
EMP1179,Charlie,Williams,32.48454882571075,Cloud Tech-Nevada,Active,7/11/2021,81017,charlie.williams@example.com,-2419562524,Excellent,True,1
EMP1180,Heidi,Jones,40.0,HR-New York,Pending,8/21/2020,74162,heidi.jones@example.com,-7150997682,Excellent,False,0
EMP1181,Heidi,Davis,32.48454882571075,DevOps-California,Active,3/27/2021,77668,heidi.davis@example.com,-8903091435,Good,True,1
EMP1182,Alice,Miller,30.0,HR-New York,Active,4/14/2024,67886,alice.miller@example.com,-3910257431,Poor,False,0
EMP1183,Alice,Williams,40.0,DevOps-Florida,Active,9/21/2020,76614,alice.williams@example.com,-6303975244,Good,True,0
EMP1184,Frank,Smith,25.0,Finance-Nevada,Active,6/12/2022,51311,frank.smith@example.com,-864035532,Excellent,False,0
EMP1185,Frank,Jones,32.48454882571075,Finance-Illinois,Inactive,12/24/2023,94809,frank.jones@example.com,-8033968526,Good,True,1
EMP1186,Grace,Johnson,25.0,HR-New York,Pending,7/31/2022,108241,grace.johnson@example.com,-171302320,Excellent,True,0
EMP1187,Bob,Davis,40.0,Cloud Tech-New York,Inactive,4/21/2023,78031,bob.davis@example.com,-2983381673,Good,True,0
EMP1188,Eva,Davis,35.0,Admin-California,Active,6/5/2020,85733,eva.davis@example.com,-2336293448,Excellent,True,0
EMP1189,David,Miller,35.0,HR-Nevada,Pending,7/27/2024,60338,david.miller@example.com,-7347156626,Excellent,False,0
EMP1190,Eva,Davis,30.0,Admin-Illinois,Active,4/5/2024,103140,eva.davis@example.com,-7689627065,Excellent,False,0
EMP1191,Heidi,Williams,40.0,Sales-Illinois,Inactive,10/26/2023,114690,heidi.williams@example.com,-1498282466,Poor,True,0
EMP1192,Frank,Smith,35.0,Admin-Florida,Active,8/18/2022,80954,frank.smith@example.com,-4746897151,Good,False,0
EMP1193,Eva,Davis,32.48454882571075,Cloud Tech-California,Pending,5/31/2020,71728,eva.davis@example.com,-7323008575,Good,True,1
EMP1194,Alice,Davis,35.0,HR-Texas,Pending,11/4/2024,118415,alice.davis@example.com,-6656749159,Good,True,0
EMP1195,Grace,Johnson,40.0,Sales-Illinois,Pending,3/25/2020,81481,grace.johnson@example.com,-1692364586,Excellent,False,0
EMP1196,David,Johnson,35.0,Sales-Florida,Pending,11/4/2020,117040,david.johnson@example.com,-5066337049,Good,True,0
EMP1197,Frank,Brown,25.0,Sales-Nevada,Active,3/21/2020,67342,frank.brown@example.com,-2497243991,Good,True,0
EMP1198,Heidi,Jones,32.48454882571075,Sales-Illinois,Active,1/15/2022,76099,heidi.jones@example.com,-116691835,Excellent,False,1
EMP1199,Grace,Williams,35.0,DevOps-Illinois,Active,6/4/2024,94162,grace.williams@example.com,-2644886945,Average,True,0
EMP1200,Frank,Davis,25.0,Sales-Nevada,Inactive,8/4/2021,67639,frank.davis@example.com,-1195243639,Excellent,True,0
EMP1201,Charlie,Garcia,35.0,Cloud Tech-Illinois,Pending,10/16/2020,114172,charlie.garcia@example.com,-2701168645,Good,True,0
EMP1202,Grace,Davis,30.0,Sales-Nevada,Active,9/26/2021,89124,grace.davis@example.com,-2252237280,Excellent,True,0
EMP1203,Frank,Smith,30.0,DevOps-Nevada,Pending,11/4/2023,113871,frank.smith@example.com,-7932302345,Average,False,0
EMP1204,Grace,Brown,32.48454882571075,HR-Texas,Inactive,9/24/2021,62618,grace.brown@example.com,-7912141613,Excellent,False,1
EMP1205,Heidi,Jones,30.0,Admin-New York,Active,6/7/2020,70705,heidi.jones@example.com,-1509377099,Good,False,0
EMP1206,Alice,Garcia,35.0,Sales-New York,Pending,2/10/2022,60797,alice.garcia@example.com,-4090138068,Average,True,0
EMP1207,Charlie,Brown,40.0,Cloud Tech-Florida,Inactive,10/17/2023,100371,charlie.brown@example.com,-8477596554,Poor,True,0
EMP1208,Eva,Miller,40.0,Admin-Illinois,Active,9/25/2021,117591,eva.miller@example.com,-5356690550,Good,False,0
EMP1209,David,Jones,35.0,DevOps-Illinois,Inactive,8/3/2022,103860,david.jones@example.com,-762091842,Average,True,0
EMP1210,Grace,Davis,30.0,Admin-Illinois,Active,11/22/2024,67500,grace.davis@example.com,-5797863049,Average,True,0
